date,hostel,capacity,day_of_week,is_weekend,month,day,predicted_consumption,per_capita_prediction,date_str
2025-03-13,A,648,3,False,3,13,14472.619,22.334288797260804,13/03/2025
2025-03-13,B,647,3,False,3,13,14565.998,22.513134539219475,13/03/2025
2025-03-13,C,646,3,False,3,13,14674.172,22.715436339009287,13/03/2025
2025-03-13,D,645,3,False,3,13,14720.074,22.821820494186046,13/03/2025
2025-03-13,FRG,644,3,False,3,13,14807.811,22.99349463800466,13/03/2025
2025-03-13,M,644,3,False,3,13,12697.944,19.71730486946817,13/03/2025
2025-03-13,N,643,3,False,3,13,12456.75,19.37286158631415,13/03/2025
2025-03-13,O,642,3,False,3,13,12335.822,19.214676426207166,13/03/2025
2025-03-13,PG,641,3,False,3,13,11948.432,18.640298971333852,13/03/2025
2025-03-13,Q,640,3,False,3,13,12123.342,18.942721557617187,13/03/2025
2025-03-14,A,648,4,False,3,14,14445.307,22.292139877507715,14/03/2025
2025-03-14,B,647,4,False,3,14,14557.223,22.499571338871714,14/03/2025
2025-03-14,C,646,4,False,3,14,14670.684,22.710036522832816,14/03/2025
2025-03-14,D,645,4,False,3,14,14727.037,22.832615673449613,14/03/2025
2025-03-14,FRG,644,4,False,3,14,14804.322,22.98807805221273,14/03/2025
2025-03-14,M,644,4,False,3,14,12694.456,19.71188828367624,14/03/2025
2025-03-14,N,643,4,False,3,14,12456.75,19.37286158631415,14/03/2025
2025-03-14,O,642,4,False,3,14,12339.857,19.2209617163162,14/03/2025
2025-03-14,PG,641,4,False,3,14,11966.129,18.667907810062403,14/03/2025
2025-03-14,Q,640,4,False,3,14,12119.854,18.937271118164062,14/03/2025
2025-03-15,A,648,5,True,3,15,14458.697,22.312804422260804,15/03/2025
2025-03-15,B,647,5,True,3,15,14554.033,22.494641735896444,15/03/2025
2025-03-15,C,646,5,True,3,15,14675.727,22.717842976006192,15/03/2025
2025-03-15,D,645,5,True,3,15,14747.324,22.864068556201552,15/03/2025
2025-03-15,FRG,644,5,True,3,15,14814.701,23.004194366265526,15/03/2025
2025-03-15,M,644,5,True,3,15,12800.269,19.876193407899844,15/03/2025
2025-03-15,N,643,5,True,3,15,12456.461,19.372412033437016,15/03/2025
2025-03-15,O,642,5,True,3,15,12359.162,19.25103132301402,15/03/2025
2025-03-15,PG,641,5,True,3,15,11207.979,17.485145890210607,15/03/2025
2025-03-15,Q,640,5,True,3,15,12123.926,18.943634033203125,15/03/2025
2025-03-16,A,648,6,True,3,16,14493.035,22.365794994212962,16/03/2025
2025-03-16,B,647,6,True,3,16,14588.371,22.54771420981453,16/03/2025
2025-03-16,C,646,6,True,3,16,14491.324,22.43239043150155,16/03/2025
2025-03-16,D,645,6,True,3,16,14781.662,22.917305595930234,16/03/2025
2025-03-16,FRG,644,6,True,3,16,14849.039,23.05751407220497,16/03/2025
2025-03-16,M,644,6,True,3,16,12849.3,19.952328889266305,16/03/2025
2025-03-16,N,643,6,True,3,16,12455.533,19.370969211702956,16/03/2025
2025-03-16,O,642,6,True,3,16,12355.799,19.2457925671729,16/03/2025
2025-03-16,PG,641,6,True,3,16,11207.051,17.483698566692667,16/03/2025
2025-03-16,Q,640,6,True,3,16,12184.465,19.038226318359374,16/03/2025
2025-03-17,A,648,0,False,3,17,14448.609,22.297236689814813,17/03/2025
2025-03-17,B,647,0,False,3,17,14554.016,22.494614567233384,17/03/2025
2025-03-17,C,646,0,False,3,17,14653.791,22.68388702109133,17/03/2025
2025-03-17,D,645,0,False,3,17,14732.27,22.840727955426356,17/03/2025
2025-03-17,FRG,644,0,False,3,17,14775.852,22.943868885869566,17/03/2025
2025-03-17,M,644,0,False,3,17,12692.752,19.709242163237576,17/03/2025
2025-03-17,N,643,0,False,3,17,12458.807,19.376060094284604,17/03/2025
2025-03-17,O,642,0,False,3,17,12315.441,19.18293053933022,17/03/2025
2025-03-17,PG,641,0,False,3,17,11902.74,18.569017526326054,17/03/2025
2025-03-17,Q,640,0,False,3,17,12094.465,18.897601318359374,17/03/2025
2025-03-18,A,648,1,False,3,18,14473.301,22.335340711805557,18/03/2025
2025-03-18,B,647,1,False,3,18,14565.998,22.513134539219475,18/03/2025
2025-03-18,C,646,1,False,3,18,14678.484,22.722112035603715,18/03/2025
2025-03-18,D,645,1,False,3,18,14724.387,22.828506540697674,18/03/2025
2025-03-18,FRG,644,1,False,3,18,14800.543,22.982209578804348,18/03/2025
2025-03-18,M,644,1,False,3,18,12717.444,19.74758437257376,18/03/2025
2025-03-18,N,643,1,False,3,18,12483.498,19.414460415046655,18/03/2025
2025-03-18,O,642,1,False,3,18,12340.135,19.22139371592679,18/03/2025
2025-03-18,PG,641,1,False,3,18,11927.432,18.607537660881434,18/03/2025
2025-03-18,Q,640,1,False,3,18,12119.158,18.936184692382813,18/03/2025
2025-03-19,A,648,2,False,3,19,14476.932,22.340943889853396,19/03/2025
2025-03-19,B,647,2,False,3,19,14565.998,22.513134539219475,19/03/2025
2025-03-19,C,646,2,False,3,19,14678.484,22.722112035603715,19/03/2025
2025-03-19,D,645,2,False,3,19,14724.387,22.828506540697674,19/03/2025
2025-03-19,FRG,644,2,False,3,19,14807.811,22.99349463800466,19/03/2025
2025-03-19,M,644,2,False,3,19,12702.257,19.724001298039596,19/03/2025
2025-03-19,N,643,2,False,3,19,12483.498,19.414460415046655,19/03/2025
2025-03-19,O,642,2,False,3,19,12340.135,19.22139371592679,19/03/2025
2025-03-19,PG,641,2,False,3,19,11952.744,18.647026740444616,19/03/2025
2025-03-19,Q,640,2,False,3,19,12127.654,18.949459838867188,19/03/2025
